SD_front,SD_left,SD_right,SD_back,Class
0.848,0.465,1.505,0.484,2
0.863,0.469,1.517,0.432,2
0.981,0.430,1.492,0.426,1
0.843,0.445,1.492,0.450,2
0.855,0.446,1.473,0.422,2
0.854,0.447,1.493,0.458,2
0.841,0.472,1.533,0.445,2
0.857,0.505,1.475,0.445,2
0.879,0.497,1.478,0.431,2
0.844,0.497,1.497,0.431,2
0.844,0.520,1.512,0.417,2
0.857,0.513,1.487,0.442,2
0.847,0.498,1.522,0.431,2
0.887,0.510,1.499,0.415,2
0.890,0.978,1.481,0.436,2
3.403,0.457,1.533,0.435,1
3.387,0.465,1.474,0.433,1
3.374,0.445,1.534,0.443,1
3.387,0.456,1.477,0.406,1
3.374,0.466,1.515,0.444,1
3.387,0.456,1.496,0.406,1
3.374,0.452,1.477,0.443,1
3.387,0.445,1.496,0.405,1
3.400,0.466,1.496,0.444,1
3.411,0.461,1.516,0.432,1
2.987,0.446,1.480,0.421,1
2.975,0.458,1.482,0.451,1
3.374,0.456,1.542,0.444,1
3.393,0.477,1.545,0.437,1
3.386,0.495,1.530,0.431,1
3.340,0.490,1.516,0.452,1
3.342,0.520,1.501,0.473,1
3.358,0.795,1.544,0.456,0
3.338,0.776,1.511,0.464,0
3.344,0.771,1.535,0.486,0
3.323,0.781,1.578,0.496,0
3.327,0.766,1.582,0.506,0
3.289,0.768,1.550,0.518,0
3.272,0.755,1.594,0.532,0
3.270,0.763,1.581,0.572,0
3.241,0.764,1.550,0.550,0
3.211,0.743,1.614,0.567,0
3.212,0.754,1.564,0.611,0
3.177,0.747,1.610,0.630,0
3.134,0.730,1.593,0.673,0
1.005,0.721,1.657,0.693,0
0.979,0.721,1.607,0.712,0
3.100,0.725,1.633,0.731,0
3.078,0.709,1.640,0.764,0
3.058,0.697,1.628,0.795,0
3.004,0.673,1.654,0.776,0
2.736,0.670,1.660,0.795,0
2.706,0.654,1.705,0.840,0
2.728,0.645,1.655,0.833,0
2.924,0.650,1.662,0.852,0
2.931,0.641,1.669,0.871,0
2.633,0.647,1.694,0.890,0
2.867,0.648,1.739,0.935,0
2.626,0.619,1.727,0.953,0
2.609,0.638,1.695,0.946,0
2.557,0.620,1.702,0.991,0
2.510,0.616,1.746,1.022,0
2.543,0.616,1.734,1.028,0
2.754,0.628,1.763,1.046,0
2.735,0.612,1.729,1.039,0
2.346,0.626,1.792,1.096,0
2.300,0.639,1.761,1.102,0
2.287,0.620,1.787,1.107,0
2.669,0.604,1.813,1.150,0
2.669,0.638,1.801,1.169,0
2.637,0.594,1.789,1.175,0
2.642,0.595,1.816,1.182,0
2.585,0.600,1.823,1.187,0
2.566,0.580,1.811,1.220,0
2.585,0.588,1.800,1.239,0
2.525,0.581,1.826,1.283,0
2.533,0.568,1.833,1.290,0
2.525,0.562,1.822,1.296,0
2.484,0.554,1.829,1.301,0
2.449,0.559,1.875,1.320,0
2.471,0.545,1.883,1.339,0
2.411,0.521,1.871,1.395,0
2.392,0.538,1.860,1.414,0
2.390,0.525,1.868,1.420,1
2.393,0.501,1.933,1.439,1
2.336,0.510,1.921,1.445,1
1.979,0.498,1.929,1.463,1
1.966,0.498,1.898,1.507,1
1.942,0.490,1.962,1.499,1
2.264,0.481,1.912,1.503,1
2.248,0.501,1.975,1.531,1
2.233,0.502,1.981,1.571,1
2.219,0.499,1.930,1.585,1
2.243,0.477,1.993,1.599,1
1.954,0.535,1.998,1.599,0
1.931,0.494,2.003,1.585,1
2.207,0.498,1.950,1.609,1
2.185,0.501,2.012,1.620,1
1.915,0.487,2.016,1.643,1
1.866,0.480,2.020,1.627,1
2.142,0.498,2.024,1.674,1
2.158,0.492,2.028,1.658,1
1.892,0.478,1.994,1.680,1
1.884,0.502,2.017,1.700,1
1.868,0.594,2.040,1.684,0
1.832,0.639,2.024,1.692,0
1.815,0.557,2.047,1.701,0
1.916,0.582,2.052,1.710,0
2.090,0.612,2.037,1.732,0
2.050,3.175,2.061,1.729,3
2.077,0.535,2.013,1.765,0
2.026,0.530,2.071,1.777,1
2.026,0.515,2.018,1.788,0
2.025,1.454,2.022,1.763,3
2.022,1.467,2.064,1.777,3
1.969,1.449,2.087,1.818,3
1.991,1.435,2.034,1.820,3
1.936,1.440,2.075,1.861,3
1.920,1.441,2.010,1.878,3
1.930,1.433,1.978,1.895,3
1.913,1.445,1.949,1.874,3
1.870,1.422,2.037,1.917,3
1.867,1.437,2.070,1.908,3
1.837,1.418,2.054,1.925,3
1.833,1.423,2.067,1.983,3
1.829,1.424,2.035,1.988,3
1.813,1.422,2.039,1.976,3
1.784,1.427,2.048,1.991,3
1.712,1.421,1.884,2.044,3
1.670,1.440,1.823,2.057,3
1.693,1.446,1.857,2.032,3
1.664,1.417,1.785,2.084,3
1.661,1.429,1.747,2.097,3
1.634,1.414,1.773,2.072,3
1.611,1.420,1.900,2.085,3
1.633,1.421,1.909,2.115,3
1.515,0.735,1.705,2.153,0
1.497,0.743,1.728,2.144,0
1.447,0.743,1.654,2.143,0
1.432,0.744,1.660,2.181,0
1.494,0.757,1.655,2.193,0
1.469,0.825,1.680,2.192,0
1.424,0.882,1.607,2.235,0
1.397,2.198,1.612,2.204,3
1.400,2.211,1.634,2.188,3
1.377,2.212,1.621,2.225,3
1.339,2.238,1.550,2.691,3
1.336,2.249,1.575,2.711,3
1.326,2.244,1.523,2.323,3
1.326,2.260,1.552,2.340,3
1.316,2.282,1.541,2.345,3
1.319,2.293,1.548,2.360,3
1.278,2.302,1.480,2.395,3
1.278,2.287,1.489,3.317,3
1.262,0.889,1.499,3.340,0
1.259,2.309,1.511,3.316,3
1.209,0.909,1.466,3.332,0
1.210,2.322,1.460,2.442,3
1.221,2.329,1.436,2.415,3
1.185,0.846,1.468,2.449,0
1.195,0.848,1.446,2.422,0
1.155,0.858,1.460,2.392,0
1.128,0.846,1.455,3.425,0
1.113,0.869,1.468,3.469,0
1.098,0.850,1.444,3.478,0
1.094,0.862,1.458,2.459,0
1.102,0.857,1.398,2.457,0
1.059,0.824,1.412,2.488,0
1.050,0.826,1.427,2.528,0
1.032,0.815,1.423,2.505,0
1.024,0.814,1.419,2.550,0
0.993,0.838,1.434,2.557,0
0.947,0.834,1.411,2.595,0
0.928,0.838,1.369,2.606,2
0.946,0.849,1.365,2.600,2
0.901,0.853,1.399,2.642,2
0.869,0.854,1.376,2.665,2
0.863,0.851,1.372,2.695,2
0.858,0.856,1.388,2.688,2
0.857,0.865,1.348,2.701,2
0.830,0.859,1.387,2.717,2
0.861,0.850,1.389,2.708,2
0.824,0.846,1.371,3.734,2
0.851,0.853,1.371,3.702,2
0.825,0.838,1.352,3.736,2
0.838,0.858,1.371,3.714,2
0.824,0.844,1.391,3.698,2
0.824,0.857,1.369,3.722,2
0.862,0.850,1.369,3.722,2
0.862,0.835,1.369,3.721,2
0.837,0.855,1.389,3.718,2
0.823,0.854,1.390,3.682,2
0.832,0.832,1.391,3.720,2
0.832,0.852,1.411,3.681,2
0.831,0.851,1.412,3.680,2
0.831,0.835,1.395,3.680,2
0.843,0.841,1.397,3.718,2
0.854,0.839,1.381,3.710,2
0.832,0.842,1.383,3.696,2
0.856,0.854,1.388,3.721,2
0.844,0.866,1.409,3.685,2
0.818,0.858,1.373,3.719,2
0.817,0.853,1.390,3.690,2
0.828,0.835,1.373,3.673,2
0.810,0.837,1.393,3.714,2
0.822,0.830,1.414,3.682,2
0.808,0.843,1.435,3.718,2
0.820,0.848,1.418,3.721,2
0.844,0.898,1.440,4.897,2
0.808,0.897,1.404,0.846,2
0.846,0.891,1.391,0.872,2
0.834,0.854,1.418,0.866,2
0.830,0.841,1.449,0.825,2
0.855,0.833,1.416,0.861,2
0.826,0.830,1.458,0.827,2
0.844,0.815,1.443,0.840,2
0.818,0.823,1.468,0.827,2
0.834,0.811,1.435,0.813,2
0.815,0.787,1.426,0.825,2
0.870,0.788,1.516,0.833,2
0.869,0.785,2.018,0.805,2
0.906,0.782,1.982,0.842,2
0.946,0.789,1.473,0.817,2
1.247,0.786,1.513,0.816,0
0.944,0.766,1.436,0.803,2
1.398,0.770,1.501,0.841,0
1.401,0.782,1.526,0.816,0
1.388,0.778,1.526,0.842,0
1.387,0.757,1.525,0.843,0
1.411,0.768,1.522,0.806,0
1.419,0.778,1.498,0.845,0
1.417,0.760,1.460,0.835,0
1.391,0.770,1.461,0.848,0
1.377,0.762,1.460,0.837,0
1.418,0.765,1.514,0.812,0
1.389,0.779,1.459,0.839,0
1.405,0.772,1.497,0.839,0
1.388,0.758,1.495,0.827,0
1.371,0.782,1.453,0.856,0
1.377,0.767,1.500,0.837,0
1.381,0.766,1.453,0.859,0
1.357,0.783,1.442,0.857,0
1.357,0.746,1.411,0.870,0
1.343,0.761,1.415,0.900,0
1.342,0.748,1.381,0.928,0
1.325,0.742,1.403,0.945,0
1.283,0.732,1.350,0.925,0
1.278,0.739,1.390,0.956,0
1.247,0.726,1.637,0.974,0
1.215,0.736,1.886,1.005,0
1.222,0.715,1.877,1.024,0
1.203,0.714,1.865,1.043,0
1.196,0.702,1.894,1.062,0
1.139,0.742,1.847,1.055,0
1.020,0.688,1.874,1.109,0
0.988,0.684,1.243,1.106,0
0.976,0.668,1.166,1.113,2
0.958,0.703,1.166,1.170,2
0.916,0.661,1.143,1.165,2
0.912,0.657,1.858,1.198,2
0.907,0.646,1.832,1.204,2
0.855,0.633,1.804,1.234,2
0.868,0.642,1.837,1.237,2
0.883,0.630,1.834,1.246,2
0.956,0.620,1.801,1.232,0
0.972,0.606,1.820,1.267,0
0.998,0.620,1.784,1.253,0
0.960,0.613,1.780,1.228,0
0.971,0.606,1.833,1.243,0
0.982,0.619,1.776,1.245,0
0.992,0.604,1.816,1.271,0
0.978,0.604,1.796,1.248,0
0.989,0.604,1.830,1.263,0
0.963,0.604,1.776,1.275,0
0.962,0.603,1.795,1.239,0
0.960,0.617,1.829,1.253,0
0.972,0.616,1.809,1.267,0
0.983,0.602,1.793,1.269,0
0.981,0.601,1.811,1.245,0
0.967,0.601,1.768,1.260,0
0.965,0.601,1.789,1.275,2
0.951,0.622,1.811,1.276,2
0.937,0.600,1.792,1.251,2
0.936,0.607,1.792,1.265,2
0.973,0.613,1.773,1.291,2
0.947,0.613,1.811,1.291,2
0.972,0.619,1.773,1.266,2
0.972,0.598,1.812,1.266,2
0.948,0.611,1.813,1.266,2
0.935,0.596,1.815,1.290,2
0.935,0.602,1.781,1.278,2
0.948,0.594,1.802,1.252,2
0.936,0.613,1.845,1.289,2
0.949,0.597,1.809,1.264,2
0.937,0.596,1.809,1.192,2
0.964,0.601,1.685,1.181,2
0.977,0.593,1.812,1.293,2
0.964,0.605,1.829,1.265,2
0.963,0.590,1.793,5.038,2
0.974,0.587,1.814,5.064,2
0.936,0.584,1.835,5.051,2
0.973,0.575,1.857,1.169,2
0.935,0.573,1.805,1.164,2
0.935,0.592,1.841,1.138,2
0.935,0.583,1.862,1.162,2
0.961,0.582,2.705,1.164,2
0.947,0.566,2.246,1.142,2
0.946,0.585,1.361,5.038,2
0.970,0.575,1.374,2.584,2
0.969,0.565,2.690,1.132,2
0.968,0.555,2.692,1.150,2
0.943,0.567,2.713,1.148,2
0.943,0.552,2.696,1.160,2
0.946,0.571,2.728,1.159,2
0.946,0.556,2.690,0.632,2
0.931,0.550,2.992,0.624,2
0.952,0.551,2.937,0.644,2
0.938,0.567,2.979,0.635,2
0.936,0.552,2.996,0.608,2
0.934,0.565,2.979,0.623,2
0.920,0.561,2.943,0.632,2
0.919,0.561,2.964,0.625,2
0.945,0.560,2.966,0.642,2
0.918,0.560,3.006,0.647,2
0.921,0.555,2.970,0.598,2
0.920,0.948,3.014,0.571,2
1.390,0.934,1.366,0.598,3
1.800,0.922,1.360,0.583,3
0.945,0.749,1.306,0.589,2
0.944,0.733,1.371,0.575,2
0.943,0.723,1.349,0.563,2
0.930,0.724,1.345,0.577,2
0.917,0.734,1.328,0.576,2
0.943,0.736,1.330,0.552,2
0.930,0.735,1.369,0.551,2
0.946,0.713,1.334,0.563,2
0.933,0.726,4.810,0.587,2
0.926,0.711,1.330,0.580,2
0.965,0.710,1.314,0.567,2
0.930,0.733,1.365,0.582,2
0.969,0.752,1.367,0.578,0
1.783,0.568,1.345,0.551,0
1.789,0.569,1.346,0.575,0
1.818,0.894,1.328,0.562,0
1.828,0.901,1.366,0.551,0
1.810,0.578,1.330,0.555,0
1.780,0.897,1.332,0.585,0
1.784,0.587,1.336,0.594,0
1.760,0.605,1.342,0.566,0
1.746,0.617,1.329,0.591,0
1.012,0.869,1.392,0.617,0
1.729,0.869,1.361,0.631,0
1.052,0.847,1.407,0.658,0
1.694,0.853,1.358,0.649,0
1.692,0.838,1.405,0.690,0
0.987,0.829,1.432,0.689,0
0.952,0.821,1.403,0.689,2
0.988,0.741,1.450,0.693,0
0.943,0.815,1.401,0.711,2
0.925,0.795,1.425,0.763,2
0.928,0.779,1.414,0.755,2
0.889,0.785,1.422,0.772,2
0.863,0.776,1.471,0.788,2
0.882,0.776,1.477,0.802,2
1.524,0.745,1.464,0.823,0
0.915,0.763,1.466,0.834,2
1.514,0.756,1.504,0.806,0
1.514,0.743,1.484,0.818,0
1.512,0.756,1.447,0.807,0
1.536,0.755,1.445,0.796,0
1.535,0.755,1.486,0.835,0
1.509,0.761,1.449,0.824,0
1.533,0.760,1.506,0.838,0
1.531,0.760,1.449,0.801,0
1.530,0.760,1.449,0.828,0
0.986,0.738,1.469,0.816,0
0.985,0.752,1.508,0.842,0
0.991,0.737,1.489,0.819,0
0.951,0.750,1.452,0.821,0
0.990,0.741,1.511,0.849,0
1.513,0.738,1.513,0.830,0
1.505,0.727,1.517,0.826,0
1.469,0.722,1.464,0.874,0
1.472,0.738,1.507,0.861,0
1.457,0.725,1.475,0.889,0
1.453,0.712,1.503,0.903,0
1.424,0.705,1.491,0.931,0
1.393,0.690,1.518,0.937,0
1.390,0.690,1.548,0.942,0
0.884,0.697,1.578,0.947,2
1.323,0.690,1.617,1.004,0
1.316,0.668,1.603,1.023,0
1.286,0.653,1.593,1.016,0
1.290,0.659,1.631,1.048,0
1.282,0.651,1.631,1.054,0
1.264,0.630,1.684,1.071,0
1.231,0.622,3.165,1.102,0
1.201,0.622,1.690,1.130,0
1.197,0.623,3.217,1.122,0
1.154,0.602,3.204,1.152,0
1.150,0.616,3.192,1.168,0
1.117,0.609,3.236,1.171,0
1.103,0.589,3.242,1.201,0
0.798,0.582,3.192,1.230,2
0.792,0.591,3.237,1.223,2
1.087,0.584,3.161,1.266,0
1.069,0.581,3.232,1.273,0
0.741,0.564,3.220,1.303,2
0.764,0.551,3.246,1.295,2
0.744,0.543,3.251,1.339,2
0.728,0.546,3.238,1.340,2
0.728,0.535,3.282,1.366,2
0.758,0.518,3.290,1.373,2
0.764,0.523,3.269,1.349,2
0.975,0.522,3.269,1.359,0
0.959,0.529,3.289,1.370,0
0.983,0.514,3.308,1.359,1
0.957,0.535,3.270,1.356,1
0.969,0.534,3.311,1.361,1
0.952,0.532,3.291,1.335,2
0.824,0.515,3.276,1.366,2
0.805,0.520,3.313,1.373,2
0.962,0.511,3.261,1.392,2
0.955,0.509,3.318,1.400,2
0.913,0.500,3.263,1.407,2
0.943,0.505,3.302,1.400,2
0.940,0.511,3.323,1.389,2
0.937,0.510,3.304,1.387,2
0.937,0.516,3.267,1.412,2
0.898,0.494,1.890,1.374,2
0.934,0.507,1.887,1.413,2
0.908,0.499,1.888,1.388,2
0.932,0.506,1.873,1.389,2
0.904,0.498,1.830,1.389,2
0.890,0.491,3.326,1.389,2
0.900,0.496,3.311,1.376,2
0.927,0.502,3.295,1.392,2
0.911,0.486,2.000,1.377,2
0.925,0.505,1.981,1.415,2
0.903,0.495,2.016,1.390,2
0.889,0.493,2.019,1.137,2
0.905,0.477,2.048,1.434,2
1.545,0.482,1.901,1.126,1
1.557,0.487,1.843,1.105,1
1.265,0.478,1.890,1.103,1
1.276,0.483,1.892,1.106,1
1.262,0.468,1.837,1.077,1
1.235,0.482,1.892,1.079,1
1.260,0.475,1.835,1.080,1
1.260,0.489,1.870,1.017,1
1.273,0.482,1.838,1.042,1
1.272,0.489,1.895,1.052,1
1.234,0.475,1.851,1.042,1
1.233,0.475,1.873,1.096,1
1.258,0.469,1.851,1.082,1
1.230,0.483,1.893,1.031,1
1.268,0.477,1.893,1.045,1
1.242,0.471,1.894,1.024,1
1.609,0.480,2.011,1.056,1
1.245,0.488,1.914,1.063,1
1.597,0.489,1.934,1.070,1
1.588,0.483,1.958,0.973,1
1.617,0.477,1.941,0.978,1
1.599,0.486,1.547,0.974,1
1.630,0.495,1.533,0.983,1
1.592,0.504,1.560,1.007,1
1.556,0.500,1.551,1.004,1
1.570,0.502,1.578,0.987,1
1.553,0.505,1.569,1.040,1
1.519,0.515,1.636,1.062,1
1.540,0.510,2.065,1.253,1
1.515,0.506,2.108,1.275,1
1.545,0.502,1.632,1.255,1
1.536,0.512,1.669,0.871,1
1.501,0.529,1.643,0.865,1
1.491,0.518,2.071,0.881,1
1.467,0.521,2.075,0.650,1
1.483,0.532,2.079,0.636,0
1.445,0.536,2.083,0.606,0
1.435,0.525,2.148,0.631,0
1.412,0.536,1.700,0.618,0
1.386,0.540,1.900,0.606,0
1.403,0.539,1.861,0.627,0
1.377,0.552,1.975,0.633,0
1.349,0.573,1.854,0.623,0
1.334,0.574,1.872,0.678,0
1.356,0.589,1.920,0.688,0
1.349,0.583,1.809,0.686,0
1.336,0.605,1.800,0.692,0
1.309,0.608,1.810,0.731,0
1.322,0.602,1.890,0.700,0
1.439,0.632,2.149,0.724,0
1.429,0.621,3.170,0.725,0
1.390,0.651,1.961,0.731,0
1.418,0.660,2.855,0.743,0
1.381,0.669,2.903,0.779,0
1.384,0.665,1.952,0.774,0
1.387,0.674,1.987,0.929,0
1.378,0.677,1.969,1.696,0
1.344,0.700,1.989,1.003,0
1.588,0.710,2.950,1.699,0
1.572,0.726,1.963,1.547,0
1.541,0.718,1.927,1.060,0
1.503,0.739,1.906,1.459,0
1.511,0.749,1.965,1.575,0
1.484,0.751,1.949,1.608,0
0.992,0.754,1.966,1.643,0
0.969,0.771,1.912,1.660,0
0.949,0.777,1.971,1.593,2
0.955,0.784,1.981,1.752,2
0.901,0.770,1.981,1.649,2
0.885,0.791,1.987,1.629,2
0.870,0.799,2.134,1.734,2
0.855,0.789,2.076,1.968,2
0.869,0.799,2.082,1.974,2
0.834,0.803,2.119,2.010,2
0.846,0.802,2.143,2.030,2
0.864,0.814,2.083,0.922,2
0.876,0.821,2.040,0.957,2
0.864,0.810,1.948,0.949,2
0.851,0.816,1.964,0.939,2
0.868,0.827,1.948,0.925,2
1.296,0.812,1.949,0.919,0
1.334,0.808,1.968,0.890,0
1.316,0.845,1.985,0.913,0
1.350,0.834,1.990,0.870,0
1.467,0.839,2.980,0.871,0
1.352,0.851,2.959,0.889,0
1.312,0.847,2.993,0.906,0
1.439,0.869,2.007,0.922,0
1.441,0.822,1.990,0.912,0
1.262,0.826,1.953,0.935,0
1.427,0.855,2.012,0.914,0
1.267,0.847,1.995,0.923,0
1.224,0.864,2.016,0.961,0
1.208,0.870,1.981,0.939,0
1.176,0.888,1.983,1.001,0
1.174,0.909,1.970,0.929,0
1.183,0.920,1.992,5.051,0
1.163,0.933,2.921,5.038,0
1.135,0.938,2.507,5.051,3
1.091,0.938,2.061,1.330,3
1.088,0.949,2.447,1.650,3
1.070,0.942,2.406,1.653,3
1.078,0.933,2.422,1.665,3
1.035,0.944,2.858,1.682,3
1.032,0.973,2.819,1.340,3
0.993,1.008,2.805,5.076,3
1.003,0.952,2.332,1.442,3
0.987,0.943,2.248,1.879,3
0.959,0.945,2.792,2.394,3
0.931,0.946,2.217,1.468,2
0.917,0.934,2.082,1.626,2
0.938,0.946,2.110,1.472,2
0.914,0.945,2.372,1.631,2
0.902,0.940,2.310,1.660,2
0.866,0.942,2.704,1.664,2
0.890,0.941,2.343,1.686,2
0.866,0.943,2.354,2.487,2
0.906,0.934,2.238,1.553,2
0.894,0.955,2.046,1.524,2
0.868,0.934,2.065,1.489,2
0.906,0.934,2.103,1.482,2
0.867,0.954,2.068,1.546,2
0.908,0.953,2.066,1.490,2
0.870,0.945,2.150,1.545,2
0.878,0.924,2.072,5.038,2
0.890,0.917,2.718,5.064,2
0.862,0.934,2.452,1.752,2
0.898,0.922,2.701,1.364,2
0.885,1.035,2.500,1.508,2
0.871,0.931,2.673,1.704,2
0.882,0.917,2.726,1.522,2
0.893,0.540,2.122,5.064,2
0.893,0.530,2.104,1.136,2
0.892,0.525,2.107,1.412,2
0.894,0.509,2.229,1.488,2
0.935,0.503,2.150,1.096,2
0.937,0.543,2.370,1.091,2
0.895,0.864,2.661,1.458,2
0.856,0.874,2.701,1.115,2
0.882,0.502,2.756,1.103,2
0.885,0.492,2.106,1.075,2
0.879,0.503,2.764,1.089,2
0.883,0.494,2.680,1.058,2
0.982,0.502,2.701,1.039,1
0.968,0.836,2.683,1.043,0
0.977,0.826,2.703,1.050,0
1.765,0.823,2.702,1.038,0
1.778,0.836,2.722,1.035,0
1.750,0.822,2.684,1.037,0
1.782,0.829,2.704,1.043,0
1.764,0.834,2.728,1.101,0
1.766,0.823,2.694,1.098,0
1.758,0.826,2.718,1.080,0
1.707,0.515,2.723,1.130,1
1.718,0.510,2.175,1.091,1
1.701,0.498,2.736,1.115,1
1.655,0.518,2.324,1.169,1
1.655,0.507,2.716,1.124,1
1.663,0.531,2.662,1.143,0
1.636,0.541,2.067,1.138,0
1.621,0.756,2.653,1.146,0
1.629,0.772,1.934,1.153,0
1.620,0.746,1.912,1.148,0
2.547,0.761,2.068,1.170,0
2.507,0.734,1.993,1.192,0
2.505,0.736,1.917,1.191,0
2.476,0.604,1.753,1.203,0
2.473,0.598,2.535,1.190,0
2.469,0.607,1.727,1.241,0
2.438,0.632,1.759,1.229,0
2.448,0.631,1.740,1.230,0
2.391,0.643,1.686,1.270,0
2.386,0.670,1.721,1.292,0
2.392,0.683,1.711,1.315,0
2.373,0.675,1.703,1.305,0
2.329,0.682,1.741,1.346,0
2.335,0.668,1.736,0.749,0
2.279,0.653,2.349,0.762,0
2.273,0.662,1.743,0.797,0
2.079,0.636,2.349,1.403,0
2.024,0.626,1.845,1.394,0
2.004,0.635,2.333,0.798,0
2.009,0.611,2.055,0.859,0
1.976,0.626,2.008,1.439,0
1.939,0.614,2.045,1.422,0
1.932,0.612,2.012,1.478,0
1.137,0.599,1.992,0.913,0
1.141,0.592,2.007,1.467,0
1.093,0.572,2.006,1.522,0
1.109,0.572,2.011,1.515,0
1.046,0.580,1.996,1.555,0
1.056,0.554,2.015,1.547,0
1.021,0.562,1.993,1.569,0
1.002,0.559,1.997,1.597,0
1.009,0.548,1.985,1.602,0
0.952,0.532,1.993,1.604,0
0.948,0.535,1.988,1.001,2
0.943,0.515,2.008,1.034,2
0.900,0.529,1.971,1.037,2
0.908,0.501,1.972,1.059,2
0.865,0.502,1.943,1.082,2
0.875,0.506,1.948,1.068,2
1.592,0.486,1.911,1.090,1
1.607,0.492,1.951,1.102,1
1.608,0.473,1.954,1.075,1
1.622,0.487,1.900,1.086,1
1.583,0.473,1.940,1.060,1
1.581,0.473,1.957,1.088,1
1.606,0.472,1.916,1.101,1
1.618,0.486,1.953,1.089,1
1.592,0.479,1.896,1.098,1
1.593,0.479,1.953,1.063,1
1.618,0.493,1.931,1.076,1
